issue,red1,red2,red3,red4,red5,blue1,blue2,pool_money,first_prize_count,first_prize_money,second_prize_count,second_prize_money,sales_money,date
07001,22,24,29,31,35,4,11,89168335,2,5000000,8,136558,17086781,2007-05-30
07002,15,22,31,34,35,5,12,84592975,1,5000000,3,339746,16832903,2007-06-02
07003,3,4,18,23,32,1,6,78904528,1,5000000,2,317521,15795691,2007-06-04
07004,6,10,16,17,25,2,4,80930948,0,0,23,26607,17651663,2007-06-06
07005,1,9,19,20,30,2,11,84210190,0,0,15,72293,21611411,2007-06-09
07006,1,16,20,23,28,3,6,80083542,1,5000000,3,461113,18675368,2007-06-11
07007,14,16,25,26,35,4,9,82645026,0,0,6,152469,19473159,2007-06-13
07008,2,8,11,21,23,4,7,85596585,0,0,8,131766,23423679,2007-06-16
07009,1,3,9,19,34,9,12,89975065,0,0,7,190700,20385607,2007-06-18
07010,6,8,18,29,34,9,11,94230078,0,0,4,292239,20524711,2007-06-20
07011,29,32,33,34,35,9,10,99674870,0,0,3,648189,23587919,2007-06-23
07012,3,12,15,29,34,7,11,98897389,1,5000000,7,183907,19740389,2007-06-25
07013,12,17,27,29,34,6,9,102960707,0,0,12,83401,19897386,2007-06-27
07014,1,2,7,29,32,6,7,105236279,0,0,6,816872,28218110,2007-06-30
07015,2,8,12,13,17,11,12,100236279,1,6713983,8,521647,22817212,2007-07-02
07016,1,14,19,24,31,3,12,101964762,0,0,6,672187,23123073,2007-07-04
07017,13,14,29,32,34,3,12,96964762,1,7167809,4,1319535,25998850,2007-07-07
07018,3,4,16,23,28,6,9,99815184,0,0,13,66104,21806412,2007-07-09
07019,3,6,17,22,23,4,6,103935374,0,0,10,131383,22362521,2007-07-11
07020,2,6,11,12,18,5,12,98935374,1,6697736,7,540188,27639555,2007-07-14
07021,2,4,24,29,33,1,2,103966251,0,0,3,427795,22696842,2007-07-16
07022,8,10,12,23,25,3,10,105314853,0,0,5,609046,23189618,2007-07-18
07023,8,10,23,32,34,8,10,97314853,1,6276376,3,1588379,27246875,2007-07-21
07024,6,16,20,25,31,4,9,100360583,0,0,11,89160,23771974,2007-07-23
07025,22,24,26,27,34,2,10,102482191,0,0,2,2970252,25639317,2007-07-25
07026,5,9,13,33,35,1,8,103992777,0,0,6,640854,28961885,2007-07-28
07027,2,3,10,19,27,6,10,105765511,0,0,10,381819,25279174,2007-07-30
07028,20,26,30,34,35,3,10,107944923,0,0,8,622689,25755284,2007-08-01
07029,15,22,25,29,35,9,11,109715764,0,0,5,729169,29553865,2007-08-04
07030,11,14,27,33,35,2,7,111475790,0,0,4,1071320,26391058,2007-08-06
07031,3,21,27,31,32,6,8,113290150,0,0,9,529188,27411586,2007-08-08
07032,1,13,21,23,32,4,11,105290150,1,6207337,2,2704435,30475342,2007-08-11
07033,1,5,8,14,22,3,12,100290150,1,6465548,15,227974,27481967,2007-08-13
07034,6,8,11,13,22,2,11,102099756,0,0,4,1101499,27710963,2007-08-15
07035,7,11,16,31,32,1,12,104380164,0,0,9,665119,31899546,2007-08-18
07036,15,18,21,27,34,1,2,106672144,0,0,3,1782650,27583299,2007-08-20
07037,1,6,7,17,31,11,12,109005650,0,0,6,777835,28032472,2007-08-22
07038,6,21,25,27,32,8,9,111233173,0,0,4,1355883,30668940,2007-08-25
07039,10,11,20,21,35,7,11,63233173,6,5212668,6,793961,27648363,2007-08-27
07040,5,21,25,28,35,1,4,61663883,1,5000000,5,410121,28464999,2007-08-29
07041,3,16,17,22,35,1,8,45804596,4,5000000,8,296541,34045332,2007-09-01
07042,7,10,22,31,35,5,6,51845697,0,0,9,199771,30246408,2007-09-03
07043,4,9,22,24,31,2,6,43955760,2,5000000,27,56327,31248714,2007-09-05
07044,4,5,7,12,26,1,10,42773163,1,5000000,8,209895,35873627,2007-09-08
